"","year","name","norm_prop"
"223",2,"John",0.510043928432715
"224",3,"John",0.568916058780242
"225",4,"John",0.772094133017673
"226",5,"John",0.543948895071352
"227",6,"John",0.391261878784088
"228",7,"John",0.302296957440615
"229",8,"John",0.277788459385311
"230",9,"John",0.108818812395709
"231",10,"John",0
"232",-10,"Lyndon",0.056750630800154
"233",-9,"Lyndon",0.0790317752213146
"234",-8,"Lyndon",0.110122738741821
"235",-7,"Lyndon",0.194885172988924
"236",-6,"Lyndon",0.224607620921182
"237",-5,"Lyndon",0.237480220673139
"238",-4,"Lyndon",0.296711285976992
"239",-3,"Lyndon",0.40148826070222
"240",-2,"Lyndon",0.326305435572852
"241",-1,"Lyndon",0.216824188513022
"242",0,"Lyndon",0.280160800581619
"243",1,"Lyndon",1
"244",2,"Lyndon",0.606209639481675
"245",3,"Lyndon",0.294444682033956
"246",4,"Lyndon",0.158405679339691
"247",5,"Lyndon",0.122781507933114
"248",6,"Lyndon",0.123679596287901
"249",7,"Lyndon",0.0503784800923748
"250",8,"Lyndon",0.0144977120130009
"251",9,"Lyndon",0
"252",10,"Lyndon",0.0640636359748535
"253",-10,"Richard",1
"254",-9,"Richard",0.894125905216014
"255",-8,"Richard",0.770134062976479
"256",-7,"Richard",0.692177322380729
"257",-6,"Richard",0.66822098758433
"258",-5,"Richard",0.742958933702531
"259",-4,"Richard",0.74511698061413
"260",-3,"Richard",0.720208807636189
"261",-2,"Richard",0.684018815961043
"262",-1,"Richard",0.677526026359055
"263",0,"Richard",0.655220489286599
"264",1,"Richard",0.537892260272542
"265",2,"Richard",0.46175564911485
"266",3,"Richard",0.343039944381618
"267",4,"Richard",0.263829999910485
"268",5,"Richard",0.19173049552278
"269",6,"Richard",0.122690151309449
"270",7,"Richard",0.0824824476861977
"271",8,"Richard",0.0353880903858376
"272",9,"Richard",0.0308690968875786
"273",10,"Richard",0
"274",-10,"Gerald",1
"275",-9,"Gerald",0.959389848159409
"276",-8,"Gerald",0.902614670795094
"277",-7,"Gerald",0.857443722279561
"278",-6,"Gerald",0.88593359182497
"279",-5,"Gerald",0.784666238946693
"280",-4,"Gerald",0.727547025951444
"281",-3,"Gerald",0.687220471049866
"282",-2,"Gerald",0.53164662891573
"283",-1,"Gerald",0.396417380308144
"284",0,"Gerald",0.359507936065162
"285",1,"Gerald",0.302621179577301
"286",2,"Gerald",0.301026527936623
"287",3,"Gerald",0.223576668805266
"288",4,"Gerald",0.170120970366444
"289",5,"Gerald",0.127116516499763
"290",6,"Gerald",0.0969064687996875
"291",7,"Gerald",0.0691511618176239
"292",8,"Gerald",0.0536137688638455
"293",9,"Gerald",0.0367606720782542
"294",10,"Gerald",0
"295",-10,"Jimmy",1
"296",-9,"Jimmy",0.950338600451467
"297",-8,"Jimmy",0.866166001041848
"298",-7,"Jimmy",0.800688776986745
"299",-6,"Jimmy",0.702588701742201
"300",-5,"Jimmy",0.634702205243966
"301",-4,"Jimmy",0.580793829947329
"302",-3,"Jimmy",0.539481680847369
"303",-2,"Jimmy",0.453862070961394
"304",-1,"Jimmy",0.366549458818082
